0	136	0.949554
136	0	0.949554
172	165	0.965093
165	172	0.965093
172	224	0.892121
224	172	0.892121
172	211	0.998074
211	172	0.998074
172	227	0.974098
227	172	0.974098
172	252	0.922966
252	172	0.922966
172	85	0.908930
85	172	0.908930
172	195	0.930677
195	172	0.930677
172	266	0.948293
266	172	0.948293
172	191	0.919121
191	172	0.919121
172	267	0.960886
267	172	0.960886
172	131	0.984399
131	172	0.984399
172	18	0.966019
18	172	0.966019
172	299	0.919769
299	172	0.919769
172	236	0.985187
236	172	0.985187
172	1	0.970983
1	172	0.970983
172	68	0.912952
68	172	0.912952
172	184	0.966019
184	172	0.966019
165	224	0.875922
224	165	0.875922
165	211	0.966789
211	165	0.966789
165	227	0.954430
227	165	0.954430
165	252	0.914759
252	165	0.914759
165	85	0.901163
85	165	0.901163
165	195	0.948873
195	165	0.948873
165	266	0.946314
266	165	0.946314
165	191	0.909354
191	165	0.909354
165	267	0.950183
267	165	0.950183
165	131	0.957400
131	165	0.957400
165	18	0.974579
18	165	0.974579
165	299	0.934667
299	165	0.934667
165	236	0.966492
236	165	0.966492
165	1	0.967016
1	165	0.967016
165	68	0.930971
68	165	0.930971
165	184	0.974579
184	165	0.974579
224	211	0.884080
211	224	0.884080
224	227	0.854299
227	224	0.854299
224	252	0.967507
252	224	0.967507
224	85	0.901726
85	224	0.901726
224	195	0.869498
195	224	0.869498
224	266	0.866623
266	224	0.866623
224	191	0.970762
191	224	0.970762
224	267	0.867329
267	224	0.867329
224	131	0.858248
131	224	0.858248
224	18	0.859717
18	224	0.859717
224	299	0.860270
299	224	0.860270
224	236	0.921504
236	224	0.921504
224	1	0.863305
1	224	0.863305
224	68	0.856305
68	224	0.856305
224	184	0.859717
184	224	0.859717
211	227	0.977846
227	211	0.977846
211	252	0.917548
252	211	0.917548
211	85	0.908573
85	211	0.908573
211	195	0.932430
195	211	0.932430
211	266	0.951349
266	211	0.951349
211	191	0.913323
191	211	0.913323
211	267	0.961885
267	211	0.961885
211	131	0.987749
131	211	0.987749
211	18	0.969390
18	211	0.969390
211	299	0.922703
299	211	0.922703
211	236	0.980941
236	211	0.980941
211	1	0.971734
1	211	0.971734
211	68	0.915910
68	211	0.915910
211	184	0.969390
184	211	0.969390
227	252	0.901516
252	227	0.901516
227	85	0.913140
85	227	0.913140
227	195	0.922976
195	227	0.922976
227	266	0.945919
266	227	0.945919
227	191	0.896253
191	227	0.896253
227	267	0.949407
267	227	0.949407
227	131	0.971119
131	227	0.971119
227	18	0.974183
18	227	0.974183
227	299	0.919193
299	227	0.919193
227	236	0.950442
236	227	0.950442
227	1	0.961524
1	227	0.961524
227	68	0.912549
68	227	0.912549
227	184	0.974183
184	227	0.974183
252	85	0.946926
85	252	0.946926
252	195	0.912019
195	252	0.912019
252	266	0.902111
266	252	0.902111
252	191	0.997477
191	252	0.997477
252	267	0.912318
267	252	0.912318
252	131	0.894715
131	252	0.894715
252	18	0.909269
18	252	0.909269
252	299	0.921458
299	252	0.921458
252	236	0.942960
236	252	0.942960
252	1	0.910843
1	252	0.910843
252	68	0.919293
68	252	0.919293
252	184	0.909269
184	252	0.909269
85	195	0.913490
195	85	0.913490
85	266	0.910328
